,Epoch,Train_max_fitness,Train_min_fitness,Train_avg_fitness,Train_std_fitness,Dev_max_fitness,Dev_min_fitness,Dev_avg_fitness,Dev_std_fitness,Test_max_fitness,Test_min_fitness,Test_avg_fitness,Test_std_fitness
0,0,0.62,0.62,0.6199999999999999,1.1102230246251565e-16,0.458,0.458,0.458,0.0,0.567,0.567,0.567,0.0
1,1,0.641,0.62,0.6210499999999998,0.004576843890717711,0.458,0.438,0.457,0.004358898943540678,0.567,0.567,0.567,0.0
2,2,0.641,0.62,0.6223499999999998,0.006310903263400578,0.458,0.438,0.45500000000000007,0.007141428428542856,0.635,0.558,0.5699500000000001,0.01505149494236371
3,3,0.656,0.62,0.6246499999999999,0.009540833296940061,0.604,0.396,0.4572,0.0368423669163641,0.596,0.558,0.56755,0.007060276198563332
4,4,0.656,0.62,0.6290499999999999,0.011922562643995637,0.604,0.396,0.4625,0.04943227690487258,0.596,0.558,0.5685499999999999,0.009687491935480503
5,5,0.656,0.625,0.6451500000000001,0.00946718015039326,0.604,0.396,0.4950000000000001,0.08064614063921471,0.596,0.558,0.5767499999999999,0.014573520508099612
6,6,0.656,0.656,0.6560000000000001,1.1102230246251565e-16,0.604,0.604,0.6039999999999999,1.1102230246251565e-16,0.596,0.596,0.596,0.0
7,7,0.656,0.656,0.6560000000000001,1.1102230246251565e-16,0.604,0.604,0.6039999999999999,1.1102230246251565e-16,0.596,0.596,0.596,0.0
8,8,0.656,0.656,0.6560000000000001,1.1102230246251565e-16,0.604,0.604,0.6039999999999999,1.1102230246251565e-16,0.596,0.596,0.596,0.0
9,9,0.656,0.656,0.6560000000000001,1.1102230246251565e-16,0.604,0.604,0.6039999999999999,1.1102230246251565e-16,0.596,0.596,0.596,0.0
10,10,0.656,0.656,0.6560000000000001,1.1102230246251565e-16,0.604,0.604,0.6039999999999999,1.1102230246251565e-16,0.596,0.596,0.596,0.0
11,11,0.656,0.656,0.6560000000000001,1.1102230246251565e-16,0.604,0.604,0.6039999999999999,1.1102230246251565e-16,0.596,0.596,0.596,0.0
12,12,0.656,0.656,0.6560000000000001,1.1102230246251565e-16,0.604,0.604,0.6039999999999999,1.1102230246251565e-16,0.596,0.596,0.596,0.0
13,13,0.656,0.656,0.6560000000000001,1.1102230246251565e-16,0.604,0.604,0.6039999999999999,1.1102230246251565e-16,0.596,0.596,0.596,0.0
14,14,0.656,0.656,0.6560000000000001,1.1102230246251565e-16,0.604,0.604,0.6039999999999999,1.1102230246251565e-16,0.596,0.596,0.596,0.0
15,15,0.656,0.656,0.6560000000000001,1.1102230246251565e-16,0.604,0.604,0.6039999999999999,1.1102230246251565e-16,0.596,0.596,0.596,0.0
16,16,0.656,0.656,0.6560000000000001,1.1102230246251565e-16,0.604,0.604,0.6039999999999999,1.1102230246251565e-16,0.596,0.596,0.596,0.0
17,17,0.656,0.656,0.6560000000000001,1.1102230246251565e-16,0.604,0.604,0.6039999999999999,1.1102230246251565e-16,0.596,0.596,0.596,0.0
18,18,0.656,0.656,0.6560000000000001,1.1102230246251565e-16,0.604,0.604,0.6039999999999999,1.1102230246251565e-16,0.596,0.596,0.596,0.0
19,19,0.656,0.656,0.6560000000000001,1.1102230246251565e-16,0.604,0.604,0.6039999999999999,1.1102230246251565e-16,0.596,0.596,0.596,0.0
