,Epoch,Train_max_fitness,Train_min_fitness,Train_avg_fitness,Train_std_fitness,Dev_max_fitness,Dev_min_fitness,Dev_avg_fitness,Dev_std_fitness,Test_max_fitness,Test_min_fitness,Test_avg_fitness,Test_std_fitness
0,0,0.62,0.37,0.56125,0.0869131031548178,0.583,0.354,0.4727,0.05152484837435235,0.577,0.433,0.53685,0.04755131438772222
1,1,0.62,0.62,0.6199999999999999,1.1102230246251565e-16,0.458,0.458,0.458,0.0,0.567,0.567,0.567,0.0
2,2,0.63,0.38,0.5933499999999998,0.07009370513819341,0.542,0.458,0.46640000000000004,0.020360255401148584,0.577,0.433,0.5531499999999999,0.03891436110229742
3,3,0.63,0.62,0.6207499999999999,0.0023848480035423662,0.479,0.458,0.46010000000000006,0.006299999999999988,0.567,0.548,0.5656,0.004487761134463347
4,4,0.641,0.62,0.6230499999999999,0.005936960501805622,0.5,0.458,0.46325000000000005,0.01307239457788816,0.644,0.558,0.5724,0.01735914744450316
5,5,0.641,0.589,0.6196999999999998,0.009072485877641263,0.479,0.438,0.4591,0.007930321557162728,0.606,0.558,0.569,0.009005553841935545
6,6,0.641,0.594,0.6226499999999998,0.010555922508241533,0.625,0.375,0.46325000000000005,0.04163397050486538,0.577,0.5,0.5643,0.016380170939278973
7,7,0.646,0.578,0.6174999999999999,0.016827061537891888,0.625,0.375,0.46749999999999997,0.056099465238092956,0.577,0.5,0.558,0.01813284313062899
8,8,0.651,0.432,0.6135999999999999,0.043932220522072414,0.646,0.375,0.48200000000000004,0.058673673823956184,0.577,0.5,0.5529,0.02070724510889846
9,9,0.641,0.589,0.6214,0.014623269128344742,0.625,0.438,0.4708,0.04760525181111849,0.587,0.538,0.5601,0.01334128929301809
10,10,0.641,0.406,0.6119000000000001,0.050656588910032226,0.542,0.438,0.46030000000000004,0.022709249217004075,0.577,0.5,0.5519499999999999,0.01602334234796223
11,11,0.646,0.406,0.6067500000000001,0.05941033159308236,0.542,0.271,0.4549500000000001,0.04621739391181637,0.577,0.462,0.5462,0.02553350739714385
12,12,0.646,0.391,0.5867000000000001,0.06358624065000226,0.625,0.271,0.46755,0.06091918827430319,0.587,0.462,0.5481999999999999,0.026615033345836696
13,13,0.635,0.391,0.57605,0.06697199041390363,0.542,0.271,0.4646,0.05475070775798246,0.587,0.462,0.5462499999999999,0.029659526294261666
14,14,0.641,0.464,0.5929999999999999,0.04543897005875023,0.583,0.271,0.46770000000000006,0.058289021264728756,0.596,0.462,0.5543,0.030887052303513823
15,15,0.641,0.464,0.5946999999999999,0.04839948346831813,0.562,0.271,0.4605,0.0580435181566383,0.596,0.462,0.5567,0.030807628925316518
16,16,0.635,0.479,0.6076499999999999,0.0407839122694231,0.542,0.312,0.45409999999999995,0.04044366452239461,0.596,0.471,0.562,0.027502727137504006
17,17,0.646,0.443,0.6075499999999999,0.0459330763176167,0.542,0.292,0.45199999999999996,0.04264621905866921,0.596,0.481,0.56055,0.025056885281295422
18,18,0.646,0.443,0.61295,0.04256345263251091,0.542,0.292,0.45310000000000006,0.04352918561149519,0.596,0.481,0.565,0.025244801445050008
19,19,0.646,0.443,0.6145499999999999,0.04222141044541265,0.542,0.292,0.45100000000000007,0.04272821082142337,0.596,0.481,0.56445,0.023359098869605376
20,20,0.641,0.448,0.61385,0.04085006119946456,0.542,0.292,0.45294999999999996,0.04203745353848162,0.596,0.49,0.5625,0.022575429121059892
21,21,0.641,0.443,0.6083000000000001,0.04565971966624411,0.521,0.292,0.45409999999999995,0.04337614551801486,0.587,0.462,0.5539,0.030146144032031672
22,22,0.641,0.443,0.6148,0.040857802192482154,0.583,0.292,0.45515,0.05141621825844448,0.615,0.462,0.56395,0.029503347267725386
23,23,0.635,0.443,0.6151,0.040298759286112026,0.479,0.292,0.44984999999999997,0.03903367136204331,0.587,0.462,0.5609999999999999,0.02618205492317207
24,24,0.635,0.401,0.6125,0.04928336433321085,0.542,0.438,0.46235,0.021448251677001554,0.587,0.433,0.5614999999999999,0.03133289006778658
25,25,0.635,0.401,0.60595,0.05550898575906427,0.604,0.438,0.46559999999999996,0.03905048015069725,0.587,0.433,0.56245,0.030874706476337537
26,26,0.635,0.375,0.5992,0.06272367973899491,0.604,0.438,0.4718,0.046167737653040775,0.596,0.423,0.5625,0.033806064544693745
27,27,0.635,0.38,0.6023999999999999,0.05859470965880795,0.604,0.438,0.46555,0.03851814507475665,0.587,0.423,0.5620499999999999,0.033414779664094736
28,28,0.635,0.385,0.6054499999999999,0.057743809191981785,0.604,0.438,0.4686,0.03755449373909865,0.587,0.423,0.562,0.03327160951922824
29,29,0.635,0.38,0.60575,0.056848812652508414,0.542,0.438,0.4633,0.01971826564381361,0.587,0.423,0.5567,0.03506294340183093
