Seed,NeuronType,MFs,update_gene,mutation_rate,mutation_individual_rate,crossover_rate,max_generations,max_patience,mu,lambda,selection_strategy,Train_Acc.,Dev_Acc.,Test_Acc.,time
0,andneuron_prod-probsum,2,,0.1,0.3,0.3,50,20,50,70,plus,0.958,0.778,0.719,8954.510437250137
0,andneuron_prod-probsum,2,,0.1,0.3,0.7,50,20,50,70,plus,0.935,0.75,0.671,6031.625621080399
0,andneuron_prod-probsum,2,,0.1,0.7,0.3,50,20,50,70,plus,0.942,0.75,0.649,4954.542217493057
0,andneuron_prod-probsum,2,,0.1,0.7,0.7,50,20,50,70,plus,0.939,0.731,0.684,4727.075348854065
0,andneuron_prod-probsum,2,,0.2,0.3,0.3,50,20,50,70,plus,0.942,0.769,0.701,6272.318269252777
0,andneuron_prod-probsum,2,,0.2,0.3,0.7,50,20,50,70,plus,0.93,0.769,0.727,6915.433629989624
0,andneuron_prod-probsum,2,,0.2,0.7,0.3,50,20,50,70,plus,0.932,0.759,0.667,4720.5874009132385
0,andneuron_prod-probsum,2,,0.2,0.7,0.7,50,20,50,70,plus,0.951,0.75,0.693,7334.878803491592
0,orneuron_probsum-prod,2,,0.1,0.3,0.3,50,20,50,70,plus,0.951,0.75,0.68,3751.1232059001923
0,orneuron_probsum-prod,2,,0.1,0.3,0.7,50,20,50,70,plus,0.944,0.75,0.662,3582.544248819351
0,orneuron_probsum-prod,2,,0.1,0.7,0.3,50,20,50,70,plus,0.939,0.731,0.675,3593.4861674308777
0,orneuron_probsum-prod,2,,0.1,0.7,0.7,50,20,50,70,plus,0.942,0.759,0.684,3599.4007346630096
0,orneuron_probsum-prod,2,,0.2,0.3,0.3,50,20,50,70,plus,0.939,0.731,0.671,3614.214766025543
0,orneuron_probsum-prod,2,,0.2,0.3,0.7,50,20,50,70,plus,0.949,0.75,0.701,5110.6575808525085
0,orneuron_probsum-prod,2,,0.2,0.7,0.3,50,20,50,70,plus,0.937,0.741,0.719,3594.590202331543
0,orneuron_probsum-prod,2,,0.2,0.7,0.7,50,20,50,70,plus,0.946,0.769,0.706,3591.596456050873
