Seed,NeuronType,MFs,update_gene,mutation_rate,mutation_individual_rate,crossover_rate,max_generations,max_patience,mu,lambda,selection_strategy,Train_Acc.,Dev_Acc.,Test_Acc.,time
0,andneuron_prod-probsum,2,,0.1,0.3,0.3,50,20,50,70,plus,0.751,0.746,0.682,1630.1351673603058
0,andneuron_prod-probsum,2,,0.1,0.3,0.7,50,20,50,70,plus,0.758,0.754,0.672,1826.2600893974304
0,andneuron_prod-probsum,2,,0.1,0.7,0.3,50,20,50,70,plus,0.751,0.761,0.692,1715.8939771652222
0,andneuron_prod-probsum,2,,0.1,0.7,0.7,50,20,50,70,plus,0.762,0.754,0.689,1769.324851989746
0,andneuron_prod-probsum,2,,0.2,0.3,0.3,50,20,50,70,plus,0.757,0.746,0.692,1674.4897689819336
0,andneuron_prod-probsum,2,,0.2,0.3,0.7,50,20,50,70,plus,0.755,0.746,0.656,1664.0232071876526
0,andneuron_prod-probsum,2,,0.2,0.7,0.3,50,20,50,70,plus,0.758,0.761,0.702,2029.7777080535889
0,andneuron_prod-probsum,2,,0.2,0.7,0.7,50,20,50,70,plus,0.751,0.754,0.682,1668.255778312683
0,orneuron_probsum-prod,2,,0.1,0.3,0.3,50,20,50,70,plus,0.762,0.754,0.698,1331.8642356395721
0,orneuron_probsum-prod,2,,0.1,0.3,0.7,50,20,50,70,plus,0.753,0.746,0.685,1305.276450395584
0,orneuron_probsum-prod,2,,0.1,0.7,0.3,50,20,50,70,plus,0.758,0.746,0.702,1394.0729341506958
0,orneuron_probsum-prod,2,,0.1,0.7,0.7,50,20,50,70,plus,0.757,0.754,0.685,1443.4666311740875
0,orneuron_probsum-prod,2,,0.2,0.3,0.3,50,20,50,70,plus,0.765,0.754,0.711,2490.7378582954407
0,orneuron_probsum-prod,2,,0.2,0.3,0.7,50,20,50,70,plus,0.75,0.754,0.682,1334.793790102005
0,orneuron_probsum-prod,2,,0.2,0.7,0.3,50,20,50,70,plus,0.757,0.746,0.685,1505.30100107193
0,orneuron_probsum-prod,2,,0.2,0.7,0.7,50,20,50,70,plus,0.758,0.761,0.698,1799.6943879127502
1,andneuron_prod-probsum,2,,0.1,0.3,0.3,50,20,50,70,plus,0.767,0.746,0.685,1652.3778340816498
1,andneuron_prod-probsum,2,,0.1,0.3,0.7,50,20,50,70,plus,0.751,0.746,0.685,1791.611528635025
1,andneuron_prod-probsum,2,,0.1,0.7,0.3,50,20,50,70,plus,0.758,0.739,0.702,1730.197911977768
1,andneuron_prod-probsum,2,,0.1,0.7,0.7,50,20,50,70,plus,0.755,0.754,0.695,2067.1491594314575
1,andneuron_prod-probsum,2,,0.2,0.3,0.3,50,20,50,70,plus,0.764,0.796,0.702,2165.099838733673
1,andneuron_prod-probsum,2,,0.2,0.3,0.7,50,20,50,70,plus,0.76,0.761,0.675,2119.0424349308014
1,andneuron_prod-probsum,2,,0.2,0.7,0.3,50,20,50,70,plus,0.753,0.746,0.685,1873.6349229812622
1,andneuron_prod-probsum,2,,0.2,0.7,0.7,50,20,50,70,plus,0.762,0.754,0.692,2636.927570104599
1,orneuron_probsum-prod,2,,0.1,0.3,0.3,50,20,50,70,plus,0.751,0.746,0.685,1319.9793083667755
1,orneuron_probsum-prod,2,,0.1,0.3,0.7,50,20,50,70,plus,0.751,0.754,0.692,1335.018079996109
1,orneuron_probsum-prod,2,,0.1,0.7,0.3,50,20,50,70,plus,0.755,0.746,0.682,1408.0378983020782
1,orneuron_probsum-prod,2,,0.1,0.7,0.7,50,20,50,70,plus,0.762,0.754,0.682,1823.6576743125916
1,orneuron_probsum-prod,2,,0.2,0.3,0.3,50,20,50,70,plus,0.755,0.761,0.669,1343.0633716583252
1,orneuron_probsum-prod,2,,0.2,0.3,0.7,50,20,50,70,plus,0.753,0.754,0.689,1283.7721104621887
1,orneuron_probsum-prod,2,,0.2,0.7,0.3,50,20,50,70,plus,0.762,0.754,0.695,1336.2942810058594
