Seed,NeuronType,MFs,update_gene,mutation_rate,mutation_individual_rate,crossover_rate,max_generations,max_patience,mu,lambda,selection_strategy,Train_Acc.,Dev_Acc.,Test_Acc.,time,Train_F1,Dev_F1,Test_F1
0,andneuron_prod-probsum,2,V,0.3,0.3,0.3,50,20,50,70,plus,0.648,0.65,0.73,5430.579039096832,0.634,0.636,0.833
0,orneuron_probsum-prod,2,V,0.7,0.7,0.7,50,20,50,70,plus,0.648,0.651,0.715,2695.6474850177765,0.631,0.633,0.822
0,andneuron_prod-probsum,2,V,0.3,0.3,0.7,50,20,50,70,plus,0.648,0.65,0.73,5062.75582075119,0.634,0.636,0.833
0,orneuron_probsum-prod,2,V,0.3,0.3,0.3,50,20,50,70,plus,0.648,0.651,0.715,2755.9557161331177,0.631,0.633,0.822
0,andneuron_prod-probsum,2,V,0.3,0.7,0.3,50,20,50,70,plus,0.648,0.65,0.73,5070.688947200775,0.634,0.636,0.833
0,orneuron_probsum-prod,2,V,0.3,0.3,0.7,50,20,50,70,plus,0.648,0.651,0.715,2782.017082929611,0.631,0.633,0.822
0,andneuron_prod-probsum,2,V,0.3,0.7,0.7,50,20,50,70,plus,0.648,0.65,0.73,5087.536820888519,0.634,0.636,0.833
0,orneuron_probsum-prod,2,V,0.3,0.7,0.3,50,20,50,70,plus,0.648,0.651,0.715,2780.7040572166443,0.631,0.633,0.822
0,andneuron_prod-probsum,2,V,0.7,0.3,0.3,50,20,50,70,plus,0.648,0.65,0.73,5122.0396847724915,0.634,0.636,0.833
0,orneuron_probsum-prod,2,V,0.3,0.7,0.7,50,20,50,70,plus,0.648,0.651,0.715,2796.8856830596924,0.631,0.633,0.822
0,andneuron_prod-probsum,2,V,0.7,0.3,0.7,50,20,50,70,plus,0.648,0.65,0.73,5318.81910610199,0.634,0.636,0.833
0,orneuron_probsum-prod,2,V,0.7,0.7,0.3,50,20,50,70,plus,0.648,0.651,0.715,2741.020353078842,0.631,0.633,0.822
0,andneuron_prod-probsum,2,V,0.7,0.7,0.3,50,20,50,70,plus,0.648,0.65,0.73,5122.295238733292,0.634,0.636,0.833
0,orneuron_probsum-prod,2,V,0.7,0.3,0.3,50,20,50,70,plus,0.648,0.651,0.715,2799.699156999588,0.631,0.633,0.822
0,andneuron_prod-probsum,2,V,0.7,0.7,0.7,50,20,50,70,plus,0.648,0.65,0.73,5159.897971153259,0.634,0.636,0.833
0,orneuron_probsum-prod,2,V,0.7,0.3,0.7,50,20,50,70,plus,0.648,0.651,0.715,2791.645250082016,0.631,0.633,0.822
